,name,sector,location,rating,reviews,jobs
2449,Karvy Data Management,Hyderabad +41 other locations,,3.3,446,--
2450,TruBridge Healthcare Private Limited,Analytics & KPO ,Mumbai +6 other locations,3.9,446,9
2451,Orion Innovation,IT Services & Consulting ,Chennai +12 other locations,3.5,445,--
2452,NetApp,IT Services & Consulting ,Bengaluru +9 other locations,3.7,445,52
2453,AQM Technologies,IT Services & Consulting ,Mumbai +13 other locations,3.2,445,20
2454,Allegis Group,Recruitment ,Bengaluru +13 other locations,3.5,444,1
2455,TriGeo Technologies,IT Services & Consulting ,Hyderabad +5 other locations,3.2,444,--
2456,AVAYA,Software Product ,Pune +17 other locations,3.2,444,3
2457,Birla White,Building Material ,Jodhpur +111 other locations,4.1,444,--
2458,Ciena,Telecom ,Gurugram +12 other locations,4.0,444,--
2459,ELGI Equipments,Industrial Machinery ,Coimbatore +32 other locations,4.0,444,45
2460,Rapido,Internet ,Bengaluru +61 other locations,3.5,444,38
2461,Knack RCM,BPO ,Jaipur +11 other locations,3.0,444,12
2462,Kataria Automobiles,Automobile ,Ahmedabad +27 other locations,3.6,444,3
2463,FabHotels,Hospitality ,Gurugram +33 other locations,3.2,444,42
2464,Brembo Brake India,Auto Components ,Pune +16 other locations,4.1,444,--
2465,GS Lab,IT Services & Consulting ,Pune +8 other locations,3.7,443,--
2466,DB Power Limited,Power ,Raigarh +13 other locations,4.7,443,--
2467,Fuji Electric,Electronics Manufacturing ,Chennai +38 other locations,3.6,443,5
2468,T.v. Sundram Iyengar & Sons,Automobile ,Chennai +78 other locations,3.9,443,--
2469,SBI Capital Markets,Financial Services ,Mumbai +135 other locations,3.7,443,--
2470,Mjunction Services,IT Services & Consulting ,Kolkata +30 other locations,3.9,443,--
2471,Zscaler Softech,Software Product ,Bengaluru +15 other locations,3.3,443,130
2472,SPAR Hypermarkets,Retail ,Bengaluru +30 other locations,3.9,442,6
2473,Polestar Analytics,IT Services & Consulting ,Noida +9 other locations,4.1,442,10
2474,Vision India Services,Recruitment ,Noida +101 other locations,4.0,441,--
2475,Midland Microfin Limited,NBFC ,Jalandhar +133 other locations,3.6,441,--
2476,Flatworld Solutions,IT Services & Consulting ,Bengaluru +10 other locations,3.3,441,13
2477,Nuvama Wealth and Investment,Financial Services ,Mumbai +56 other locations,3.3,440,12
2478,Freecharge,FinTech ,Gurugram +62 other locations,3.7,440,34
2479,Meyer Organics,Pharma ,Mumbai +71 other locations,3.6,440,12
